# M74 generalizing-claim triage ledger (D-009 scope fence: source-table
# generalizations, re-derived not exit-coded). One row per candidate emitted by
# `python3 data-raw/enumerate-generalizing-claims.py`; the enumerator's --check
# gate asserts every current candidate appears here (enumeration completeness,
# AC1 — NOT a claim-truth check). Columns: key, citekey, disposition, reason,
# claim (first ~90 chars, for orientation only).
#
# Dispositions:
#   IN            source-table generalization the repo relies on -> recomputed in T2-T4;
#                 the reason records the full-table basis + result (confirmed/narrowed/corrected).
#   IN-done       already recomputed over its full table at M71; M74 re-derived and confirmed.
#   IN-consumer   a downstream restatement (INDEX) of an IN claim -> checked for consistency in T5.
#   OUT-*         not in scope, with the category reason. Categories: provenance (extraction/
#                 exhaustive-read), quote (verbatim/source-attributed), tabledata (transcribed cell/
#                 design row), design (grid/replications/structure), single (one cited cell/worked
#                 example/band convention), figure (plot-read, no table), prose (meta/definitional),
#                 oracle-pin (ORACLES.md repo-fixture claim, test-enforced), citation (BIBLIOGRAPHY),
#                 repo-analysis (repo synthesis note, validated at its own milestone),
#                 repostate (M73/D-009 dated observation), nonloadbearing (scope Out).
key	citekey	disposition	reason	claim
saha2005:c0b7ab4486	saha2005	IN-done	M71: PNB>BB at all 40 cells; ratio recomputed over grid	samples than BB-generated data at every one of the 40 matched cells. Computed
saha2005:c0bb776b30	saha2005	IN-basis	derivation basis of the corrected worst-acceptance claim (boundary cells ranked)	~15.1 %), 6600 (PNB/TNBD, `m = 10`, `φ = 0.05`, ~15.2 %) — so the worst-acceptance
saha2005:c89b702d00	saha2005	IN-done	M71: ratio floor 1.10 (TNBD/m50/phi.85) ceiling 4.12 over 40-cell grid; basis inline	**1.10–4.12**: the floor is TNBD, `m = 50`, `φ = 0.85` (1191 vs 1080) and the
saha2005:d405b43ba1	saha2005	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	it — observed 2026-07-19 (M71). Tables I, III, IV, VI and VII were re-read cell
saha2005:d8f1156a6c	saha2005	IN-basis	derivation basis of the corrected worst-acceptance claim (full 160-cell Table I)	the maximum generated count is the worst acceptance, and taken across all 160
saha2005:f0b35e4336	saha2005	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	- **BCML has the best bias overall**, DEQL the worst (Figure 1, p. 3503) — the
saha2005:fa42f3b65a	saha2005	IN-done	M71 correction record: old 1.7-4x from 2 cells superseded by full-grid 1.10-4.12	"1.7–4×", computed from the two cited cells rather than the grid; corrected at
saha2012:06f533ea9d	saha2012	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	A representative slice from **Table I**, `m = 19` (the smallest, worst case),
saha2012:197dc5093c	saha2012	OUT-single	source reports rejection counts only as ranges, never per cell (p. stated); not a note generalization over a table	only as ranges (0–20, rising to 30–100 at small `φ`), never per cell. The
saha2012:3eef5af6ac	saha2012	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	was correct as transcribed, as were all five `m = 19` rows above. The narrative
saha2012:4a12437792	saha2012	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	Three re-analyses, each tabulating all seven 95 % intervals:
saha2012:6d6d2e6da4	saha2012	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	and the same corner from **Table I**, `m = 73` (the largest fixed-size case),
saha2012:7218e60359	saha2012	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	Nominal level **95 %** throughout. **1000 data sets per parameter combination**,
saha2012:74981024f4	saha2012	IN	M74 CONFIRMED cross-note: xiao2009 min rho 0.1, xiao2013 min rho 0.6; none of 3 PL papers hits the boundary	(smallest 0.1) and `xiao2013` (smallest 0.6), **none of the three
saha2012:7d1d9cec2b	saha2012	IN	M74 CONFIRMED cross-note: saha2012 min phi 0.05 (no phi=0 cell)	- **No `φ = 0` cell.** The smallest simulated `φ` is 0.05. As with `xiao2009`
saha2012:cb735fc0c6	saha2012	IN	M74 cross-note synthesis: near-zero gap common to the 3 PL papers	single most consistent gap in the M65 cluster.
saha2012:ecfd2e150f	saha2012	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	variance (§2.5). Both are dangling references to numbers that do not exist in
saha2012:f9d374d50e	saha2012	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	two members of M65's profile-likelihood trio. All three together establish
sem-multilevel-pilot:09ccefa9d6	sem-multilevel-pilot	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	five components + all eight Table-3 ICCs (2 levels × 2 types × 2 units)
sem-multilevel-pilot:3d27883f14	sem-multilevel-pilot	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	Consistency ICCs (ratios) absorb most of it (M49 lesson: split tolerances
sem-multilevel-pilot:8a8df87433	sem-multilevel-pilot	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	predicted .00525) — two distinct documented mechanisms (F1). All four
sem-multilevel-pilot:a1c507dc20	sem-multilevel-pilot	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	3·√(2/(k−1))/√n_rep **of the predicted inflation τ²/σ²_r** on every cell
shieh2015:4a3f3e2253	shieh2015	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	`ρ*` from 0 to 0.90 in steps of 0.1, plus 0.99. Bias in Tables 1–4, MSE in
shieh2015:4a4e9af264	shieh2015	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	Ordering, p. 999, holding "for all four settings of `N` and `K`":
shieh2015:53a39877a4	shieh2015	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	`RAB{ρ̂*_UB} < RAB{ρ̂*_MO} < RAB{ρ̂*_ME} < RAB{ICC(2)} < …`. MSE, identical across all fou
shieh2015:616e349694	shieh2015	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	`RAB{ρ̂*(c)} = |c(N−1) − N + 3|/2` and `RMSE{ρ̂*(c)} = M_c/M_1`. Both are free of
shrout1979:331b8e4068	shrout1979	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-18 against the source (all 9 PDF pages = printed 420–428, rea
shrout1979:b8f3e4336f	shrout1979	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	- **O1** (`ORACLES.md`) — data + all six coefficients;
tenhove2018:5badd27afb	tenhove2018	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	`trevethan2017`'s Table 2 makes (0.51 to 0.87), and both are stronger than the
tenhove2018:704b84d0ee	tenhove2018	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-19 against the source (all 9 PDF pages read through the refer
tenhove2018:7aa3a040f1	tenhove2018	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Anxiety | 0.00 – 0.50 | −0.04 – 0.54 |
tenhove2018:846f682d28	tenhove2018	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Vision | 0.71 – 0.85 | 0.60 – 0.85 |
tenhove2018:92a1bd59ce	tenhove2018	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Video | 0.10 – 0.92 | 0.04 – 0.92 |
tenhove2018:a7e9396dba	tenhove2018	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Diagnoses | 0.17 – 0.46 | 0.17 – 0.46 |
tenhove2018:c36848a79f	tenhove2018	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	Springer Nature 2018. Affiliation for all three authors: Research Institute of
tenhove2018:f00732fb6b	tenhove2018	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	All four ship with the R package `irr` (Gamer et al. 2012), version 0.84.
tenhove2020:15c6309a6b	tenhove2020	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	percentile-based BCIs, and at least three raters** — with Gelman's (2006) caveat
tenhove2020:32df04e643	tenhove2020	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	from 0.48 to 0.83". No per-cell values are tabulated. Consistency ICCs were
tenhove2020:a28d55c7b4	tenhove2020	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	(ratio ≈3–4.5 at `k` = 2) than ICC(A,1) (≈1.3–1.7) (plot-read).
tenhove2020:ade6c7bdf0	tenhove2020	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	to ≈84–90%** (uniform worst, inside the "substantially too narrow" band),
tenhove2020:b8c7104973	tenhove2020	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	ICC(A,1), but only for `k` > 2" (p. 9). Fig. 3: `σ_r` HPDI coverage ≈97.5–100%
tenhove2020:cd5d57adda	tenhove2020	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-18 against the source (M69) — all 14 manuscript pages re-read
tenhove2020:d079f6b3c6	tenhove2020	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	(too wide) vs percentile ≈95–96%. Fig. 4: ICC(A,1) coverage at **`k` = 2 falls
tenhove2022:2333eb7f05	tenhove2022	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	> Raters Crossed With Clusters", and Table 2's Design-1 columns show all eight
tenhove2022:33d9c2994c	tenhove2022	OUT-repostate	dated repo-state observation (M73/D-009), settled by its check: directive, not by table recomputation	file present — observed 2026-07-18) <!-- check: none — the shelf (cairn/references/sources
tenhove2022:3d9cbe3414	tenhove2022	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	(p. 9). Among random-effect SDs, `σ_r` showed the largest under-estimation
tenhove2022:61cb5c9cfd	tenhove2022	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	conditions × 1,000 replications**; total N from 200 to 1,200. Resulting
tenhove2022:6d45276b37	tenhove2022	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	The most elaborated single-level coefficient, **Eq. 5 (p. 3)**:
tenhove2022:76104e7703	tenhove2022	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	Same DGP with `σ²_c = σ²_r = 0.16`, smallest sample only (`N_c = 20`,
tenhove2022:aba972b6e8	tenhove2022	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	effects because most observational studies … use a sample of raters" (p. 4).
tenhove2024:0306a36378	tenhove2024	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	which most adequately describes the experimental situation" (Bartko 1966,
tenhove2024:2e3f915e38	tenhove2024	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	Most elaborated two-way coefficient, **Eq. 8 (p. 4)**:
tenhove2024:334af6bb6a	tenhove2024	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	relative position is of interest — "most statistical analyses" (p. 9).
tenhove2024:b30a04a3e7	tenhove2024	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-18 against the source (M69) — all 13 PDF pages re-read; Eqs. 
tenhove2025a:01cd11e23d	tenhove2025a	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	likelihood is bivariate over each dyad's two scores (Eq. 20, p. 451). None of
tenhove2025a:09f4366d1e	tenhove2025a	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	all four correct as M64 had them. Under substantial/**good**, however,
tenhove2025a:86bc0bd946	tenhove2025a	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	It is the closest sibling of `tenhove2022.md` — same authors, same GT framing —
tenhove2025a:9f35471792	tenhove2025a	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	all four conditions for every ICC, while Table 6's bias rows differ between
tenhove2025a:ec3e9c3565	tenhove2025a	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	the largest a *SD* could possibly be" (p. 452) on the 6-point mimicry scale —
tenhove2025b:09b632dcf6	tenhove2025b	OUT-design	method descriptor (the inverted-F CI used as the reference)	least-squares estimates and a 95% CI via an inverted *F* test, used **as the
tenhove2025b:123b58779c	tenhove2025b	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	run at the two worst main-simulation conditions (`R = 10`, `R_s = 2`, `N = 30`,
tenhove2025b:22c8997e25	tenhove2025b	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	MLE-RE yielded the most accurate variability estimates of the ICCs" (p. 1053);
tenhove2025b:31a491b4f4	tenhove2025b	OUT-quote	source's population ICC values (p.1049), transcribed; tenhove2025b is not a package oracle	- **Population ICCs (p. 1049).** `ICC(A,1) = 0.40–0.57` and `ICC(C,1) =
tenhove2025b:3e35f48eb3	tenhove2025b	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	- **Convergence / time (Fig. 8, p. 1054).** MLE-RE showed "the highest (near
tenhove2025b:44da212099	tenhove2025b	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	0.50–0.67` across conditions — "These are the lowest possible ICCs" (p. 1049),
tenhove2025b:4bcf31361c	tenhove2025b	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	conditions" (p. 1054). MCMC-HL had the lowest convergence, ~1–1.5 min per fit;
tenhove2025b:4dcf44fce5	tenhove2025b	OUT-quote	source finding on coverage vs missingness (p.1054), source-attributed; not a note over-generalization	for ICC(A,1) as missingness decreased. For ICC(C,1), only at the highest
tenhove2025b:7e19655608	tenhove2025b	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	Built on the worst condition (`R = 10`, `k_s = 2`, `N = 30`, `σ²_s = 2`), with
tenhove2025b:96104e5896	tenhove2025b	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	CIs yielded coverage rates closest to the nominal level of 95%" (p. 1053).
tenhove2025b:9a9820d339	tenhove2025b	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	- **Point-estimate bias (Fig. 3, p. 1051; Fig. 4, p. 1052).** "Across all
tenhove2025b:c101cdb5d9	tenhove2025b	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	conditions, MLE-RE yielded the most accurate ICC estimates" (p. 1051); MLE-RE
tenhove2025b:cdc5862162	tenhove2025b	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-18 against the source (M69) — all 21 PDF pages (printed 1042–
tenhove2025b:e3a66df4df	tenhove2025b	OUT-nonloadbearing	non-load-bearing commentary (out-of-contract sampling-method / per-cell source detail); no package value, oracle, candidate or D-entry relies on it (scope Out)	ranged 0.00–0.80, at the six (R, R_s) cells: (3,2) 33%, (3,3) 0%, (5,2) 60%,
trevethan2017:477202b222	trevethan2017	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	inter-foot difference 0.12 across all 97 readings, differences ranging 0.00 to
trevethan2017:6afb10a823	trevethan2017	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	It will usually produce the highest ICCs." SPSS: "First option 2-way mixed".
trevethan2017:911d8acd7e	trevethan2017	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	"In this case, six different ICCs were produced. They range from 0.51 to 0.87"
trevethan2017:979a40e699	trevethan2017	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Fleiss (1986) | "ICCs <0.40 are poor, those from 0.40 to 0.75 are fair to good, and thos
trevethan2017:9c92f9417d	trevethan2017	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	The paper's most-repeated caution (PDF pp. 6–9). Verbatim, PDF p. 6: researchers
trevethan2017:a06710a726	trevethan2017	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	shelf copy**, which is online-first and prints none of them (M66, corrected
trevethan2017:aaa264b778	trevethan2017	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Nunnally and Bernstein (1994) | "ICCs should attain at least 0.90… for clinical measurem
trevethan2017:b6069c3df3	trevethan2017	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	interval ranged from 0.0 to 0.82 and was therefore obviously negatively skewed
trevethan2017:e919a5d904	trevethan2017	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	(1994), i.e. a third, fourth, and fifth scheme. All five disagree with each
ukoumunne2003:4e7eb053a0	ukoumunne2003	OUT-design	simulation-design grid descriptor (rho 0-0.3 in steps of 0.005)	100 subjects/cluster, `ρ` from 0 to 0.3 in steps of 0.005). Use
ukoumunne2003:7b0f060f84	ukoumunne2003	IN	M74 CORRECTED: worst cell is 0.9310 (k=30,rho.001), not 0.9320 (k=10); not a package value (grep clean, AC5)	- **The method's own worst tabulated cell is 0.9310** (normal, ρ = 0.001,
ukoumunne2003:d643521f76	ukoumunne2003	IN-basis	derivation basis: the M74 correction record (0.9320 at k=10 superseded)	both at ρ = 0.001. (An earlier version of this note gave the worst as 0.9320 at
ukoumunne2003:d87123dcc9	ukoumunne2003	IN	M74 CORRECTED: min transformed-boot-t coverage over all 12 Table I normal cells (100-low-up) = 0.9310 at k=30,rho.001 (k=10 cell is 0.9320); was recorded 0.9320 at k=10	uniformly so.** At its worst tabulated normal cell — ρ = 0.001, **k = 30** — it
vanderark2023:11a2fe023b	vanderark2023	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-19 against the source (all 15 PDF pages read to the final pag
vanderark2023:1cafc89393	vanderark2023	OUT-design	descriptor of a plotted empirical-width band (2.5-97.5 percentile), not a value generalization	continuous and ordinal data. They overlay the *empirical* interval width (2.5–97.5
vanderark2023:2ba2d60dc5	vanderark2023	IN	M74 CONFIRMED: min .934 (both scales), max .956 (ordinal) over 24 cells	under 83–99 % missingness, never leaving `[0.934, 0.956]` across 24 cells. That
vanderark2023:6498b89d99	vanderark2023	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	preprint's 2021/2022). All four labels denote two works. Recorded so the drift
vanderark2023:a5153da6d7	vanderark2023	IN	M74 CONFIRMED: Table 2 per-scale ranges (cont cov .934-.951 width .173-.225; ord cov .934-.956 width .211-.252); note's own aggregate recompute reproduces	width for each of the 24 core conditions. Observed ranges as printed:
xiao2009:270e04c62c	xiao2009	IN-done	M71 correction: K3/25=75 fam > K2/25=50; incidental-parameters not smallness; confirmed	inside it. That block is **not the smallest**: p. 115 sets "the number of populations is
xiao2009:29213d40ff	xiao2009	IN-done	M74: 5 lowest GP cells .913/.919/.923/.925/.925 all in K3/25 block; confirmed	0.925 (`ρ = 0.3`), 0.925 (`ρ = 0.9`) — **all five in the `K = 3`, 25-family
xiao2009:6e63d46977	xiao2009	IN-done	M74: GP range .913-.947, PL .931-.950 over 36 cells; confirmed from Table 1	range is 0.913–0.947 against PL's 0.931–0.950. Sorting all 36 GP coverage cells
xiao2009:8f2ffafbeb	xiao2009	OUT-design	application-dataset descriptor (218 families), not a generalization over a source table	most one child excluded, leaving **218 families**, split by gender and age
xiao2009:9a195f266b	xiao2009	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	shelf PDF, all 9 pages. **All 72 Table 1 values and all 8 Table 2 values
xiao2009:a7e7b7cf86	xiao2009	IN-done	M71+M74: PL 36 cells all in [0.931,0.950] (min .931 K3/50/rho.8, max .950 K3/50/rho.6); Table 1 transcribed	**Every one of the 36 PL cells lands in 0.931–0.950 against a nominal 0.95** —
xiao2009:c770c63fa3	xiao2009	IN-done	M74: GP two lowest .913/.919 at rho{.1,.2}; confirmed from Table 1	cell is `0.913` (`K = 3`, 25 families, `ρ = 0.1`) and its **two** lowest cells
xiao2009:f2ff8284fc	xiao2009	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	(pp. 115, 117): PL "obviously performs better in most cases", the PL intervals
xiao2009:f972c051ae	xiao2009	IN-done	M74: sim grid min rho=0.1 (no rho=0 cell); confirmed from Table 1	throughout and the lowest ρ cell is 0.1, not 0. The `ρ = 0` boundary — where
xiao2013:0e6d9231cc	xiao2013	OUT-quote	verbatim source statement (p.2246) naming its own worst geometry	`R = 3, S = 50`, when the profile likelihood with `κ = 0` has the worst results"
xiao2013:12d76c6a66	xiao2013	IN-done	M74: Table 2 all 9 cells R=3,S=50 single geometry (p.2246); source-confirmed	**Table 2 is a single-geometry table, not a sweep.** Every one of its nine cells
xiao2013:341dece076	xiao2013	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	restated in every section that can carry it — Abstract, Introduction, §3.1, §4
xiao2013:3719958dbb	xiao2013	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	### The ρ_L = 0.6 fence (the finding that most constrains reuse here)
xiao2013:8915178c45	xiao2013	IN-done	M74: nominal 90% in every two-sided table; design fact confirmed	- **Nominal level is 90 %, not 95 %,** in every two-sided table. The package's
xiao2013:8e698864d4	xiao2013	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Balance | **Balanced and complete only** — the `RS`-vector likelihood (Eqs. 16–18, p. 22
xiao2013:b182abe6bc	xiao2013	OUT-quote	source-identified worst cell + verbatim coverage quote (§4 p.2254); the source's own superlative	worst cell `R = 3, S = 50, δ = 4.0, ρ = 0.6`, where "the coverage rate is
xiao2013:c13094f47a	xiao2013	IN-done	M74: Table 2 nine cells min 731 max 862 (values listed inline); confirmed	nominal **90 %** interval range **731–862** (×1000) across nine `(ρ, δ)` cells
xiao2013:ca5d339a56	xiao2013	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	All seven values above were re-read cell-by-cell against the shelf PDF at M71 and
xiao2013:e5225c8efd	xiao2013	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	`ρ_U = 0.98` in most cases"; the Table 3 settings (p. 2254) state `ρ_U = 0.9`.
young1998:2145a873f8	young1998	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	as **0.4089** at `K = 5`, against a nominal 0.05. **Both halves are now
young1998:4555483d04	young1998	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	`ρ₁, ρ₂` over all combinations of 0.1–0.9 in steps of 0.1 — the paper's words are
young1998:4dc82e1f44	young1998	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	**Label drift between table and figures.** Figures 1–4 label the `Z*`-test
young1998:553a0162c7	young1998	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-19 against the source (all 11 PDF pages read to the final pag
young1998:89006f7cd0	young1998	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	p. 1370; confirmed as the sole sample size across all 11 pages). No small-`k`
young1998:bccd62e0ba	young1998	IN-done	M74: sim rho grid 0.1-0.9 (no rho=0); confirmed	- **No `ρ = 0` cell.** The grid runs 0.1–0.9, so the boundary is unexercised —
young1998:cc9cad9b4b	young1998	OUT-quote	verbatim source statement (1993 review quote); not a note generalization over a table	(1993) — **"none of the above authors derived any test for unequal family
young1998:ed4aea9a9c	young1998	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	The conclusion is unambiguous and repeated at least four times (Summary p. 1363,
ORACLES:3ed892cdea	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own npbootstrap oracle upper-tail bound (BC6, M75/RR02/D-010), test-enforced; not an external source-table generalization (pre-existing untriaged row from M75, triaged here in passing)	5. **Point-outside bound (BC6)** — the reported (engine REML) point-outside-interval rate is bounded by the recorded upper-tail error at every cell with ρ > 0 (an exact logical subset, RR02 §3d).
ORACLES:47d43e0eee	ORACLES	OUT-oracle-pin	ORACLES.md characterization of the repo's own M76 coverage sweep (explicitly labeled 'not an anchor'), not an external source-table generalization	- **Coverage characterization (not an anchor):** the M76 sweep (`data-raw/m76-sweep-results.rds`, 16 cells × 2000 reps) — both methods 0 aborts on all 32k datasets vs MC 4–44%; SEARLE near-nominal + symmetric (one leptokurtic high-`k` under-cover), Burch conservative / never-under-cover. A characterization for the GO/NO-GO, not an oracle anchor.
burch2011:71a3399450	burch2011	OUT-quote	verbatim source-attributed result (Burch 2011 §5, p.1028): the REML method's lowest coverage over 55 scenarios was 'just under 0.93'; the source's own generalization, not the note over-generalizing	method's lowest coverage over 55 scenarios was "just under 0.93" (a = 100,
classical-oneway-comparison:6b45e8fad2	classical-oneway-comparison	OUT-repo-analysis	repo-internal M76 synthesis note (own computed coverage/width/tail sweep over data-raw/m76-sweep-results.rds, validated at M76/D-012), not an external published source table	- **Seeding:** per-cell distinct seeds, per-rep (RR01 findings 1–2); data seed
classical-oneway-comparison:d2acb43cb3	classical-oneway-comparison	OUT-repo-analysis	repo-internal M76 synthesis note (own computed coverage/width/tail sweep over data-raw/m76-sweep-results.rds, validated at M76/D-012), not an external published source table	| C1 | **Abort.** Each classical method returns a finite interval on **100%** of datasets (0 aborts) at every cell; per-method n_ok/abort reported, and the MC default's abort rate reported alongside as the defect being addressed. | AC2 |
classical-oneway-comparison:d1d1391039	classical-oneway-comparison	OUT-repo-analysis	repo-internal M76 synthesis note (own computed coverage/width/tail sweep over data-raw/m76-sweep-results.rds, validated at M76/D-012), not an external published source table	| C2 | **Coverage floor.** At each cell, two-sided coverage ≥ **0.93** (source-grounded: ukoumunne's own worst tabulated is 0.931, Burch's near-ρ=0 is "just under 0.93"). Over-coverage up to ~0.97 is tolerated; coverage < 0.93 is an under-cover fail at that cell. | AC3/AC4 |
classical-oneway-comparison:2ef110295a	classical-oneway-comparison	OUT-repo-analysis	repo-internal M76 synthesis note (own computed coverage/width/tail sweep over data-raw/m76-sweep-results.rds, validated at M76/D-012), not an external published source table	interval on 100% of 32,000 datasets — 0 aborts, every cell.** The MC default
classical-oneway-comparison:b4f152cd10	classical-oneway-comparison	OUT-repo-analysis	repo-internal M76 synthesis note (own computed coverage/width/tail sweep over data-raw/m76-sweep-results.rds, validated at M76/D-012), not an external published source table	whole grid (0.940–0.957), failing the 0.93 floor at exactly **one** cell — the
classical-oneway-comparison:707542e378	classical-oneway-comparison	OUT-repo-analysis	repo-internal M76 synthesis note (own computed coverage/width/tail sweep over data-raw/m76-sweep-results.rds, validated at M76/D-012), not an external published source table	kurtosis as `k` grows (Burch §3). Burch **never under-covers** (0.937–0.991) and
classical-oneway-comparison:fac94095ba	classical-oneway-comparison	OUT-repo-analysis	repo-internal M76 synthesis note (own computed coverage/width/tail sweep over data-raw/m76-sweep-results.rds, validated at M76/D-012), not an external published source table	passes C4 at every t5 cell (it exceeds both incumbents there), but it
classical-oneway-comparison:9fcaec8398	classical-oneway-comparison	OUT-repo-analysis	repo-internal M76 synthesis note (own computed coverage/width/tail sweep over data-raw/m76-sweep-results.rds, validated at M76/D-012), not an external published source table	**over-covers** at small `k` (0.96–0.99 at k≤30), the classic REML small-sample
